Country_Region,Outbreaks,Total Cases,Total Deaths,Avg Fatality Rate (%)
"Guinea, Liberia, Sierra Leone",1,28610,11308,39.5%
Democratic Republic of the Congo,15,4728,3199,67.7%
Uganda,6,738,329,44.6%
Sudan,3,335,180,53.7%
Republic of the Congo,4,249,211,84.7%
Gabon,4,207,150,72.5%
Guinea,1,23,12,52.2%
Nigeria,1,20,8,40.0%
Philippines,3,9,0,0.0%
Mali,1,8,6,75.0%
United States,3,8,1,12.5%
United Kingdom,2,2,0,0.0%
Russia,2,2,2,100.0%
South Africa,1,2,1,50.0%
Italy,2,1,0,0.0%
Senegal,1,1,0,0.0%
Spain,1,1,0,0.0%
Cote d'Ivoire,1,1,0,0.0%
