Year,Country_Region,Timing,Species,Cases,Deaths,Fatality Rate (%)
2022,Uganda,Sep 2022–Jan 2023,Sudan ebolavirus,164,55,33.5%
2022,Democratic Republic of the Congo,Aug–Sep 2022,Zaire ebolavirus,1,1,100.0%
2022,Democratic Republic of the Congo,Apr–Jul 2022,Zaire ebolavirus,5,5,100.0%
2021,Democratic Republic of the Congo,Oct–Dec 2021,Zaire ebolavirus,11,9,81.8%
2021,Democratic Republic of the Congo,Feb–May 2021,Zaire ebolavirus,12,6,50.0%
2021,Guinea,Feb–Jun 2021,Zaire ebolavirus,23,12,52.2%
2020,Democratic Republic of the Congo,Jun–Nov 2020,Zaire ebolavirus,130,55,42.3%
2018,Democratic Republic of the Congo,Aug 2018–Jun 2020 (10th outbreak),Zaire ebolavirus,3470,2287,65.9%
2018,Democratic Republic of the Congo,May–Jul 2018 (9th outbreak),Zaire ebolavirus,54,33,61.1%
2017,Democratic Republic of the Congo,May–Jul 2017,Zaire ebolavirus,8,4,50.0%
2014,"Guinea, Liberia, Sierra Leone",Mar 2014–Jun 2016 (West Africa),Zaire ebolavirus,28610,11308,39.5%
2014,Italy,2014,Zaire ebolavirus,1,0,0.0%
2014,Mali,2014,Zaire ebolavirus,8,6,75.0%
2014,Nigeria,2014,Zaire ebolavirus,20,8,40.0%
2014,Senegal,2014,Zaire ebolavirus,1,0,0.0%
2014,Spain,2014,Zaire ebolavirus,1,0,0.0%
2014,United Kingdom,2014,Zaire ebolavirus,1,0,0.0%
2014,United States,2014,Zaire ebolavirus,4,1,25.0%
2014,Democratic Republic of the Congo,2014,Zaire ebolavirus,69,49,71.0%
2012,Uganda,Nov 2012,Sudan ebolavirus,6,3,50.0%
2012,Democratic Republic of the Congo,2012,Bundibugyo ebolavirus,38,13,34.2%
2012,Uganda,Jun 2012,Sudan ebolavirus,11,4,36.4%
2011,Uganda,May 2011,Sudan ebolavirus,1,1,100.0%
2008,Democratic Republic of the Congo,2008,Zaire ebolavirus,32,15,46.9%
2008,Philippines,2008,Reston ebolavirus (non-pathogenic in humans),6,0,0.0%
2007,Uganda,2007,Bundibugyo ebolavirus,131,42,32.1%
2007,Democratic Republic of the Congo,Sep–Nov 2007,Zaire ebolavirus,264,187,70.8%
2005,Republic of the Congo,2005,Zaire ebolavirus,12,10,83.3%
2004,Russia,2004,Zaire ebolavirus,1,1,100.0%
2004,Sudan,2004,Sudan ebolavirus,17,7,41.2%
2003,Republic of the Congo,Nov–Dec 2003,Zaire ebolavirus,35,29,82.9%
2003,Republic of the Congo,Jan–Apr 2003,Zaire ebolavirus,143,128,89.5%
2001,Republic of the Congo,2001–2002,Zaire ebolavirus,59,44,74.6%
2001,Gabon,2001–2002,Zaire ebolavirus,65,53,81.5%
2000,Uganda,2000–2001,Sudan ebolavirus,425,224,52.7%
1996,Russia,1996,Zaire ebolavirus,1,1,100.0%
1996,Philippines,1996,Reston ebolavirus (non-pathogenic in humans),0,0,0
1996,United States,1996,Reston ebolavirus (non-pathogenic in humans),0,0,0
1996,South Africa,1996,Zaire ebolavirus,2,1,50.0%
1996,Gabon,Fall 1996,Zaire ebolavirus,60,45,75.0%
1996,Gabon,Spring 1996,Zaire ebolavirus,31,21,67.7%
1995,Democratic Republic of the Congo,1995,Zaire ebolavirus,315,254,80.6%
1994,Cote d'Ivoire,1994,Taï Forest ebolavirus,1,0,0.0%
1994,Gabon,1994,Zaire ebolavirus,51,31,60.8%
1992,Italy,1992,Reston ebolavirus (non-pathogenic in humans),0,0,0
1989,Philippines,1989,Reston ebolavirus (non-pathogenic in humans),3,0,0.0%
1989,United States,1989,Reston ebolavirus (non-pathogenic in humans),4,0,0.0%
1979,Sudan,1979,Sudan ebolavirus,34,22,64.7%
1977,Democratic Republic of the Congo,1977,Zaire ebolavirus,1,1,100.0%
1976,United Kingdom,1976,Zaire ebolavirus,1,0,0.0%
1976,Sudan,1976,Sudan ebolavirus,284,151,53.2%
1976,Democratic Republic of the Congo,1976,Zaire ebolavirus,318,280,88.1%
